Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
LOC128772244,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 1:226603897,Functional Element,,2,GC01P226416,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772244
LOC128772245,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 1:226605227,Functional Element,,2,GC01P226417,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772245
LOC128772246,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 2:25596509,Functional Element,,2,GC02P025373,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772246
LOC128772247,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 2:25722050,Functional Element,,2,GC02P025499,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772247
LOC128772248,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 2:25741070,Functional Element,,2,GC02P025518,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772248
LOC128772250,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 2:25761103,Functional Element,,2,GC02P025538,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772250
LOC128772252,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 2:25787416,Functional Element,,2,GC02P025591,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772252
LOC128772253,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 2:25873082,Functional Element,,2,GC02P026287,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772253
LOC128772256,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 2:202153225,Functional Element,,2,GC02P201399,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772256
LOC128772257,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 3:169486144,Functional Element,,2,GC03P169768,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772257
LOC128772258,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 3:169487501,Functional Element,,2,GC03P169837,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772258
LOC128772259,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 3:169512145,Functional Element,,2,GC03P169838,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772259
LOC128772260,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 3:169524016,Functional Element,,2,GC03P169839,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772260
LOC128772269,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 5:90269376,Functional Element,,2,GC05P090973,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772269
LOC128772270,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 5:90272756,Functional Element,,2,GC05P090976,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772270
LOC128772271,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 5:90276298,Functional Element,,2,GC05P090980,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772271
LOC128772275,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:21150224,Functional Element,,2,GC06P021149,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772275
LOC128772278,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:32682862,Functional Element,,2,GC06P116546,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772278
LOC128772279,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:32685380,Functional Element,,2,GC06P116547,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772279
LOC128772280,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:32698988,Functional Element,,2,GC06P116548,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772280
LOC128772281,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:32746394,Functional Element,,2,GC06P116549,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772281
LOC128772282,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:32748021,Functional Element,,2,GC06P116550,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772282
LOC128772284,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:32749836,Functional Element,,2,GC06P116552,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772284
LOC128772285,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:32750346,Functional Element,,2,GC06P116553,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772285
LOC128772287,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:32752130,Functional Element,,2,GC06P116555,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772287
LOC128772288,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:32752973,Functional Element,,2,GC06P116556,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772288
LOC128772291,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:32754458,Functional Element,,2,GC06P116559,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772291
LOC128772292,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:32754921,Functional Element,,2,GC06P116560,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772292
LOC128772294,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:32756916,Functional Element,,2,GC06P116562,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772294
LOC128772295,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:32762528,Functional Element,,2,GC06P116563,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772295
LOC128772296,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:90866227,Functional Element,,2,GC06P116564,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772296
LOC128772297,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:90883525,Functional Element,,2,GC06P116566,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772297
LOC128772298,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:90941289,Functional Element,,2,GC06P116567,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772298
LOC128772299,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:90981657,Functional Element,,2,GC06P116568,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772299
LOC128772302,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:91036267,Functional Element,,2,GC06P116574,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772302
LOC128772303,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 6:91037287,Functional Element,,2,GC06P116587,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772303
LOC128772306,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 7:22117733,Functional Element,,2,GC07P022078,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772306
LOC128772308,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 7:22119917,Functional Element,,2,GC07P022080,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772308
LOC128772309,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 7:22121421,Functional Element,,2,GC07P022082,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772309
LOC128772312,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 7:124397814,Functional Element,,2,GC07P124757,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772312
LOC128772313,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 7:124449868,Functional Element,,2,GC07P124809,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772313
LOC128772314,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 7:124542275,Functional Element,,2,GC07P124902,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772314
LOC128772316,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 7:130743720,Functional Element,,2,GC07P134297,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772316
LOC128772317,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 7:130743868,Functional Element,,2,GC07P134298,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772317
LOC128772320,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 7:130751320,Functional Element,,2,GC07P134303,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772320
LOC128772323,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 7:130758576,Functional Element,,2,GC07P134306,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772323
LOC128772328,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 8:22014424,Functional Element,,2,GC08P022167,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772328
LOC128772330,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 9:12636264,Functional Element,,2,GC09P012636,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772330
LOC128772331,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 9:12651340,Functional Element,,2,GC09P012651,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772331
LOC128772332,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 9:12660541,Functional Element,,2,GC09P012660,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772332
LOC128772333,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 9:12671566,Functional Element,,2,GC09P012671,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772333
LOC128772334,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 9:21720826,Functional Element,,2,GC09P021726,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772334
LOC128772335,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 9:21760452,Functional Element,,2,GC09P021760,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772335
LOC128772336,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 9:21805208,Functional Element,,2,GC09P021816,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772336
LOC128772338,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 9:21962977,Functional Element,,2,GC09P021963,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772338
LOC128772342,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:16086747,Functional Element,,2,GC11P016065,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772342
LOC128772345,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:16200444,Functional Element,,2,GC11P016178,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772345
LOC128772346,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:16210951,Functional Element,,2,GC11P016189,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772346
LOC128772347,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:69350505,Functional Element,,2,GC11P081496,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772347
LOC128772349,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:69367118,Functional Element,,2,GC11P081498,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772349
LOC128772351,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:69371642,Functional Element,,2,GC11P081500,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772351
LOC128772352,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:69375393,Functional Element,,2,GC11P081501,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772352
LOC128772353,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:69388143,Functional Element,,2,GC11P081502,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772353
LOC128772354,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:108047982,Functional Element,,2,GC11P108177,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772354
LOC128772357,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:108273376,Functional Element,,2,GC11P108402,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772357
LOC128772358,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:108294773,Functional Element,,2,GC11P108423,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772358
LOC128772365,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:120195689,Functional Element,,2,GC11P121147,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772365
LOC128772368,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:120305787,Functional Element,,2,GC11P121150,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772368
LOC128772370,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:120313899,Functional Element,,2,GC11P121152,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772370
LOC128772371,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:120345004,Functional Element,,2,GC11P121153,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772371
LOC128772373,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 11:120356317,Functional Element,,2,GC11P121155,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772373
LOC128772374,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 12:13058787,Functional Element,,2,GC12P033181,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772374
LOC128772376,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 12:17286714,Functional Element,,2,GC12P033183,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772376
LOC128772377,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 12:17310310,Functional Element,,2,GC12P033184,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772377
LOC128772378,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 12:17311674,Functional Element,,2,GC12P033185,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772378
LOC128772379,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 12:17327941,Functional Element,,2,GC12P033186,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772379
LOC128772380,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 12:96134654,Functional Element,,2,GC12P095740,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772380
LOC128772381,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 12:96141252,Functional Element,,2,GC12P095747,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772381
LOC128772382,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 12:96243941,Functional Element,,2,GC12P095850,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772382
LOC128772383,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 12:96244864,Functional Element,,2,GC12P095851,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772383
LOC128772385,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 12:96379806,Functional Element,,2,GC12P096412,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772385
LOC128772388,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 13:113533651,Functional Element,,2,GC13P112879,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772388
LOC128772389,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 13:113534907,Functional Element,,2,GC13P112880,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772389
LOC128772390,Melanoma Risk Locus-Associated MPRA Allelic Enhancer 13:113536132,Functional Element,,2,GC13P112881,14.79818916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC128772390
NCOR1,Nuclear Receptor Corepressor 1,Protein Coding,O75376,48,GC17M016029,14.78965759,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOR1
ATRX,ATRX Chromatin Remodeler,Protein Coding,P46100,51,GC0XM077504,14.78384972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATRX
CTCF,CCCTC-Binding Factor,Protein Coding,P49711,51,GC16P067563,14.76440907,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTCF
TGM2,Transglutaminase 2,Protein Coding,P21980,51,GC20M038127,14.75699806,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM2
GABPB1-AS1,GABPB1 Antisense RNA 1,RNA Gene,,17,GC15P057520,14.72529411,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABPB1-AS1
ATF3,Activating Transcription Factor 3,Protein Coding,P18847,48,GC01P212565,14.7199049,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF3
PANTR1,POU3F3 Adjacent Non-Coding Transcript 1,RNA Gene,,19,GC02M104764,14.66020679,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANTR1
IKBKB,Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Beta,Protein Coding,O14920,58,GC08P042271,14.65707588,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKB
NAT1,N-Acetyltransferase 1,Protein Coding,P18440,48,GC08P018183,14.64588356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAT1
DDIT3,DNA Damage Inducible Transcript 3,Protein Coding,P35638,50,GC12M057516,14.62680435,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDIT3
RHOC,Ras Homolog Family Member C,Protein Coding,P08134,46,GC01M112701,14.62194729,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOC
CASP1,Caspase 1,Protein Coding,P29466,53,GC11M105025,14.61837387,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP1
GAST,Gastrin,Protein Coding,P01350,44,GC17P041712,14.61321354,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAST
GNRH1,Gonadotropin Releasing Hormone 1,Protein Coding,P01148,45,GC08M025419,14.60683727,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNRH1
CD40LG,CD40 Ligand,Protein Coding,P29965,54,GC0XP136649,14.60402489,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG
LINC02446,Long Intergenic Non-Protein Coding RNA 2446,RNA Gene,,16,GC12P030638,14.6034832,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02446
SMO,"Smoothened, Frizzled Class Receptor",Protein Coding,Q99835,55,GC07P133919,14.59730816,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMO
EPO,Erythropoietin,Protein Coding,P01588,47,GC07P100720,14.59253597,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPO
METTL3,"Methyltransferase 3, N6-Adenosine-Methyltransferase Complex Catalytic Subunit",Protein Coding,Q86U44,46,GC14M021498,14.58673096,https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL3
ITGA3,Integrin Subunit Alpha 3,Protein Coding,P26006,52,GC17P050055,14.57837105,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA3
STARD13,StAR Related Lipid Transfer Domain Containing 13,Protein Coding,Q9Y3M8,44,GC13M033103,14.57604408,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STARD13
MYB,"MYB Proto-Oncogene, Transcription Factor",Protein Coding,P10242,53,GC06P135180,14.569314,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYB
TNFRSF10D,TNF Receptor Superfamily Member 10d,Protein Coding,Q9UBN6,46,GC08M023135,14.56472301,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF10D
GSTM3,Glutathione S-Transferase Mu 3,Protein Coding,P21266,50,GC01M109733,14.54001236,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTM3
CLMAT3,Colorectal Liver Metastasis Associated Transcript 3,RNA Gene,,15,GC05P151677,14.51085281,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLMAT3
MIR19B1,MicroRNA 19b-1,RNA Gene,,19,GC13P091635,14.5085144,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR19B1
PTGER4,Prostaglandin E Receptor 4,Protein Coding,P35408,50,GC05P040679,14.48037434,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGER4
DPP4,Dipeptidyl Peptidase 4,Protein Coding,P27487,53,GC02M161992,14.47726154,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4
MIR500A,MicroRNA 500a,RNA Gene,,17,GC0XP050008,14.47661018,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR500A
MIR635,MicroRNA 635,RNA Gene,,17,GC17M068424,14.47637272,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR635
LYVE1,Lymphatic Vessel Endothelial Hyaluronan Receptor 1,Protein Coding,Q9Y5Y7,46,GC11M011321,14.47580338,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LYVE1
BDNF,Brain Derived Neurotrophic Factor,Protein Coding,P23560,53,GC11M027654,14.46913528,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF
KRT14,Keratin 14,Protein Coding,P02533,51,GC17M041582,14.45503807,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT14
SNORD15A,"Small Nucleolar RNA, C/D Box 15A",RNA Gene,,17,GC11P075400,14.45002651,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD15A
GZMB,Granzyme B,Protein Coding,P10144,51,GC14M024630,14.44382477,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GZMB
ENSG00000275307,,RNA Gene,,8,GC22P056442,14.44182682,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000275307
ENSG00000276965,,RNA Gene,,8,GC22P056441,14.44182682,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000276965
CEACAM1,CEA Cell Adhesion Molecule 1,Protein Coding,P13688,49,GC19M042507,14.43565369,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEACAM1
MECOM,MDS1 And EVI1 Complex Locus,Protein Coding,Q03112,52,GC03M169083,14.4286108,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MECOM
FEN1,Flap Structure-Specific Endonuclease 1,Protein Coding,P39748,50,GC11P061793,14.42234612,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FEN1
IL6ST,Interleukin 6 Cytokine Family Signal Transducer,Protein Coding,P40189,54,GC05M055935,14.39782143,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6ST
NT5E,5'-Nucleotidase Ecto,Protein Coding,P21589,56,GC06P085449,14.38480568,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NT5E
HDAC4,Histone Deacetylase 4,Protein Coding,P56524,56,GC02M239048,14.38345909,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC4
SHBG,Sex Hormone Binding Globulin,Protein Coding,P04278,46,GC17P007613,14.37590218,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHBG
MIR501,MicroRNA 501,RNA Gene,,17,GC0XP052676,14.34950924,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR501
LINC01554,Long Intergenic Non-Protein Coding RNA 1554,RNA Gene,Q52M75,22,GC05P095838,14.34255028,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01554
HIC1,HIC ZBTB Transcriptional Repressor 1,Protein Coding,Q14526,46,GC17P002054,14.33606815,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIC1
SFRP1,Secreted Frizzled Related Protein 1,Protein Coding,Q8N474,48,GC08M041262,14.33458424,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFRP1
ADIPOQ,"Adiponectin, C1Q And Collagen Domain Containing",Protein Coding,Q15848,50,GC03P186842,14.33428669,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ
CAT,Catalase,Protein Coding,P04040,55,GC11P034460,14.33405113,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAT
AFDN-DT,AFDN Divergent Transcript,RNA Gene,Q9Y6Z5,24,GC06M167801,14.32104683,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFDN-DT
PTGS1,Prostaglandin-Endoperoxide Synthase 1,Protein Coding,P23219,51,GC09P122370,14.31485176,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS1
CXCL2,C-X-C Motif Chemokine Ligand 2,Protein Coding,P19875,44,GC04M074097,14.31356049,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL2
POLR1C,RNA Polymerase I And III Subunit C,Protein Coding,O15160,48,GC06P112228,14.31306076,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR1C
PSG2,Pregnancy Specific Beta-1-Glycoprotein 2,Protein Coding,P11465,38,GC19M043064,14.3072834,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSG2
HTATIP2,HIV-1 Tat Interactive Protein 2,Protein Coding,Q9BUP3,44,GC11P020363,14.30279732,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTATIP2
IL4R,Interleukin 4 Receptor,Protein Coding,P24394,52,GC16P053264,14.29085636,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4R
LGALS3BP,Galectin 3 Binding Protein,Protein Coding,Q08380,46,GC17M078971,14.28958511,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS3BP
IRS2,Insulin Receptor Substrate 2,Protein Coding,Q9Y4H2,48,GC13M109752,14.28072929,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRS2
TGFB3,Transforming Growth Factor Beta 3,Protein Coding,P10600,52,GC14M075958,14.27219582,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB3
LINC00328,Long Intergenic Non-Protein Coding RNA 328,RNA Gene,,9,GC21U900445,14.27033424,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00328
CTTN,Cortactin,Protein Coding,Q14247,48,GC11P070398,14.23477745,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTTN
CAHM,Colon Adenocarcinoma Hypermethylated,RNA Gene,,18,GC06M163413,14.2331295,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAHM
PML,PML Nuclear Body Scaffold,Protein Coding,P29590,50,GC15P073994,14.22588253,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PML
RUNX1-IT1,RUNX1 Intronic Transcript 1,RNA Gene,,18,GC21M035037,14.16267395,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUNX1-IT1
VIM-AS1,VIM Antisense RNA 1,RNA Gene,,19,GC10M017172,14.12159348,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIM-AS1
EPAS1,Endothelial PAS Domain Protein 1,Protein Coding,Q99814,54,GC02P046293,14.12089634,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPAS1
IL11,Interleukin 11,Protein Coding,P20809,45,GC19M055364,14.1208477,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL11
